time,cpu,bb
3.0,0.0,0.018000000000000016
6.0,0.0,0.019000000000000017
8.0,0.0,0.02400000000000002
9.0,0.0,0.028000000000000025
10.0,0.0,0.03300000000000003
11.0,0.0,0.041000000000000036
14.0,0.0,0.049000000000000044
16.0,0.0,0.05600000000000005
18.0,0.0,0.06399999999999995
21.0,0.0,0.06499999999999995
22.0,0.0,0.07499999999999996
23.0,0.0,0.08299999999999996
25.0,0.0,0.08699999999999997
26.0,0.0,0.09299999999999997
27.0,0.0,0.10099999999999998
28.0,0.0,0.10299999999999998
30.0,0.0,0.10799999999999998
32.0,0.0,0.122
33.0,0.0,0.131
34.0,0.0,0.136
36.0,0.0,0.14
40.0,0.0,0.14200000000000002
41.0,0.0,0.14700000000000002
43.0,0.0,0.14800000000000002
44.0,0.0,0.15500000000000003
46.0,0.0,0.16200000000000003
48.0,0.0,0.16400000000000003
50.0,0.0,0.16700000000000004
52.0,0.0,0.17200000000000004
53.0,0.0,0.17700000000000005
54.0,0.0,0.18500000000000005
55.0,0.0,0.19599999999999995
57.0,0.0,0.19899999999999995
60.0,0.0,0.21899999999999997
63.0,0.0,0.22299999999999998
65.0,0.0,0.22699999999999998
66.0,0.0,0.235
68.0,0.0,0.25
69.0,0.0,0.264
70.0,0.0,0.271
72.0,0.0,0.278
76.0,0.0,0.28600000000000003
78.0,0.0,0.28900000000000003
79.0,0.0,0.30200000000000005
81.0,0.0,0.30900000000000005
82.0,0.0,0.31000000000000005
83.0,0.0,0.31499999999999995
84.0,0.0,0.32199999999999995
85.0,0.0,0.32999999999999996
87.0,0.0,0.347
88.0,0.0,0.349
89.0,0.0,0.357
90.0,0.0,0.364
93.0,0.0,0.373
94.0,0.0,0.382
95.0,0.0,0.394
96.0,0.0,0.399
97.0,0.0,0.40700000000000003
98.0,0.0,0.40900000000000003
99.0,0.0,0.42100000000000004
102.0,0.0,0.45699999999999996
103.0,0.0,0.469
105.0,0.0,0.475
106.0,0.0,0.48
108.0,0.0,0.51
109.0,0.0,0.512
111.0,0.0,0.515
112.0,0.0,0.516
113.0,0.0,0.518
114.0,0.0,0.534
115.0,0.0,0.544
116.0,0.0,0.548
118.0,0.0,0.554
120.0,0.0,0.558
121.0,0.0,0.562
122.0,0.0,0.5680000000000001
124.0,0.0,0.5760000000000001
125.0,0.0,0.598
126.0,0.0,0.616
127.0,0.0,0.62
128.0,0.0,0.624
130.0,0.0,0.626
131.0,0.0,0.629
132.0,0.0,0.635
133.0,0.0,0.634
135.0,0.0,0.644
138.0,0.0,0.656
139.0,0.0,0.659
140.0,0.0,0.677
141.0,0.0,0.6819999999999999
143.0,0.0,0.688
146.0,0.0,0.6910000000000001
147.0,0.0,0.696
149.0,0.0,0.7050000000000001
150.0,0.0,0.7070000000000001
151.0,0.0,0.736
155.0,0.0,0.742
159.0,0.0,0.747
160.0,0.0,0.752
161.0,0.0,0.751
162.0,0.0,0.765
163.0,0.0,0.773
164.0,0.0,0.78
165.0,0.0,0.8029999999999999
167.0,0.0,0.8089999999999999
168.0,0.0,0.819
169.0,0.0,0.8260000000000001
171.0,0.0,0.834
174.0,0.0,0.843
176.0,0.0,0.848
178.0,0.0,0.862
181.0,0.0,0.869
182.0,0.0,0.876
184.0,0.0,0.881
185.0,0.0,0.888
186.0,0.0,0.891
187.0,0.0,0.897
189.0,0.0,0.905
190.0,0.0,0.916
191.0,0.0,0.92
192.0,0.0,0.9339999999999999
193.0,0.0,0.9390000000000001
195.0,0.0,0.947
196.0,0.0,0.95
197.0,0.0,0.957
198.0,0.0,0.989
200.0,0.0,0.997
201.0,0.0,0.997
203.0,0.0,0.999
205.0,0.0,0.999
206.0,0.0,0.999
207.0,0.0,0.999
208.0,0.0,1.0
209.0,0.0,1.0
212.0,0.0,0.999
213.0,0.0,0.999
215.0,0.0,0.998
217.0,0.0,0.998
218.0,0.0,0.999
219.0,0.0,0.999
220.0,0.0,0.999
221.0,0.0,0.999
223.0,0.0,1.0
226.0,0.0,1.0
227.0,0.0,1.0
229.0,0.0,1.0
232.0,0.0,1.0
233.0,0.0,1.0
236.0,0.0,1.0
237.0,0.0,0.999
239.0,0.0,0.999
240.0,0.0,1.0
241.0,0.0,1.0
243.0,0.0,0.999
244.0,0.0,0.999
245.0,0.0,0.999
247.0,0.0,1.0
248.0,0.0,1.0
249.0,0.0,1.0
250.0,0.0,1.0
251.0,0.0,1.0
252.0,0.0,1.0
253.0,0.0,1.0
255.0,0.0,1.0
256.0,0.0,1.0
257.0,0.0,1.0
259.0,0.0,1.0
260.0,0.0,1.0
262.0,0.0,1.0
264.0,0.0,1.0
265.0,0.0,1.0
266.0,0.0,1.0
267.0,0.0,1.0
269.0,0.0,1.0
270.0,0.0,1.0
271.0,0.0,1.0
273.0,0.0,1.0
275.0,0.0,1.0
277.0,0.0,1.0
278.0,0.0,1.0
281.0,0.0,1.0
282.0,0.0,1.0
284.0,0.0,1.0
285.0,0.0,1.0
286.0,0.0,1.0
287.0,0.0,1.0
288.0,0.0,1.0
289.0,0.0,1.0
290.0,0.0,1.0
292.0,0.0,1.0
293.0,0.0,1.0
294.0,0.0,1.0
295.0,0.0,1.0
296.0,0.0,1.0
297.0,0.0,1.0
298.0,0.0,1.0
299.0,0.0,1.0
300.0,0.0,1.0
301.0,0.0,1.0
302.0,0.0,1.0
303.0,0.0,1.0
305.0,0.0,1.0
306.0,0.0,1.0
309.0,0.0,1.0
310.0,0.0,1.0
311.0,0.0,1.0
312.0,0.0,1.0
313.0,0.0,1.0
314.0,0.0,1.0
315.0,0.0,1.0
316.0,0.0,1.0
317.0,0.0,1.0
318.0,0.0,1.0
319.0,0.0,1.0
320.0,0.0,1.0
321.0,0.0,1.0
323.0,0.0,1.0
324.0,0.0,1.0
325.0,0.0,1.0
326.0,0.0,1.0
327.0,0.0,1.0
328.0,0.0,1.0
329.0,0.0,1.0
331.0,0.0,1.0
332.0,0.0,1.0
333.0,0.0,1.0
335.0,0.0,1.0
336.0,0.0,1.0
338.0,0.0,1.0
340.0,0.0,1.0
343.0,0.0,1.0
344.0,0.0,1.0
346.0,0.0,1.0
347.0,0.0,1.0
348.0,0.0,1.0
349.0,0.0,1.0
351.0,0.0,1.0
352.0,0.0,1.0
353.0,0.0,1.0
354.0,0.0,1.0
357.0,0.0,1.0
359.0,0.0,1.0
360.0,0.0,1.0
361.0,0.0,1.0
363.0,0.0,1.0
364.0,0.0,1.0
365.0,0.0,1.0
369.0,0.0,1.0
370.0,0.0,1.0
371.0,0.0,1.0
373.0,0.0,1.0
375.0,0.0,1.0
376.0,0.0,1.0
377.0,0.0,1.0
379.0,0.0,1.0
380.0,0.0,1.0
382.0,0.0,1.0
383.0,0.0,1.0
385.0,0.0,1.0
387.0,0.0,1.0
389.0,0.0,1.0
390.0,0.0,1.0
392.0,0.0,1.0
393.0,0.0,1.0
